SIGNAL_NAME,Lat,Lng
DNDN NGP STR,2109.2723,7905.3398
DN DN NGP INT STR,2109.4795,7905.3815
DN NGP ADV STR,2109.7188,7905.7377
DN NGP GATE SIG,2109.7554,7906.0694
DN L XING,2109.7923,7906.1972
DN NEU SEC,2109.8489,7906.3939
DN GATE IN DIST,2109.9571,7906.8906
DN NGP GATE SIG,2109.9967,7907.6886
DN L XING,2110.0109,7907.8047
DN KAV HOME,2110.0158,7907.8476
DN KAV STR,2110.1296,7908.7343
DN L XING,2110.1861,7908.9952
DN KAV ADV STR,2110.289,7909.2052
DN AUTO SIGNAL 2,2110.6757,7909.6028
DN AUTO SIGNAL 4,2111.635,7910.4103
DN AUTO SIGNAL 6,2111.9527,7910.7855
DN KP HOME,2112.5136,7911.4685
DN L XING,2112.5747,7911.5874
DN KP STR,2112.7517,7912.0517
DN KP ADV STR,2112.8491,7912.3041
DN AUTO SIGNAL 10,2113.1003,7912.9601
DN KNHN HOME,2113.3394,7913.4999
DN KNHN STR,2113.5589,7914.4855
DN KNHN ADV STR,2113.6827,7914.9343
DN NEU SEC,2113.8026,7915.3946
DN AUTO SIGNAL 12,2113.8683,7915.6297
DN AUTO SIGNAL 14,2114.0255,7916.2258
DN SAL HOME,2114.1826,7916.9705
DN L XING,2114.1795,7917.0886
DN SAL STR,2114.157,7917.7922
DN L XING,2114.1528,7917.9389
DN SAL ADV STR,2114.1492,7918.0619
DN AUTO SIGNAL 20,2114.1276,7918.774
DN SA G:A22,2114.1232,7919.3421
DN L XING,2114.1428,7919.4841
DN AUTO SIGNAL 24,2114.2106,7919.8138
DN CHCR HOME,2114.3882,7920.7362
DN CHCR STR,2114.5355,7921.5074
DN L XING,2114.5626,7921.6489
DN CHCR ADV STR,2114.5866,7921.7705
DN AUTO SIGNAL 30,2114.7005,7922.3536
DN AUTO SIGNAL 32,2114.8243,7922.9858
DN SA G:A34,2114.9701,7923.6623
DN L XING,2115.0114,7923.7859
DN TAR HOME,2115.2456,7924.4626
DN L XING,2115.3032,7924.624
DN TAR STR,2115.4613,7925.0801
DN TAR ADV STR,2115.5552,7925.3655
DN AUTO SIGNAL 36,2115.6682,7926.0296
DN NEU SEC,2115.678,7926.3017
DN AUTO SIGNAL 38,2115.6941,7926.8333
DN RRL HOME,2115.7183,7927.5946
DN RRL STR,2115.5799,7928.2407
DN RRL ADV STR,2115.4901,7928.4383
DN AUTO SIGNAL 40,2115.0565,7929.3575
DN AUTO SIGNAL 42,2114.8217,7929.9309
DN AUTO SIGNAL 44,2114.7523,7930.5981
DN AUTO SIGNAL 46,2114.7041,7931.6354
DN KT HOME,2114.6339,7932.5343
DN L XING,2114.6135,7932.6599
DN KT STR,2114.5105,7933.2989
DN KT ADV STR,2114.4827,7933.4323
DN AUTO SIGNAL 48,2114.3717,7934.1069
DN AUTO SIGNAL 50,2114.2602,7934.7858
DN AUTO SIGNAL 52,2114.1038,7935.7079
DN AUTO SIGNAL 54,2114.0449,7936.355
DN AUTO SIGNAL 56,2114.1181,7937.011
DN AUTO SIGNAL 58,2114.1952,7937.7069
DN BRD HOME,2114.2607,7938.2825
DN L XING,2114.295,7938.5626
DN BRD STR,2114.35,7939.042
DN BRD ADV STR,2114.3756,7939.2755
DN AUTO SIGNAL 60,2114.3342,7939.9452
DN NEU SEC,2114.2547,7940.4258
DN AUTO SIGNAL 62,2114.2013,7940.7306
DN SA G:A64,2114.3815,7941.5336
DN L XING,2114.4765,7941.6814
DN AUTO SIGNAL 66,2114.7611,7942.0796
DN K HOME,2115.1471,7942.4774
DN K STR,2115.7025,7942.7414
DN L XING,2115.8427,7942.8022
DN K ADV STR,2115.8779,7942.8176
DN AUTO SIGNAL 68,2116.3949,7943.0426
DN AUTO SIGNAL 70,2116.8941,7943.2605
DN SA G:A72,2117.3948,7943.4784
DN L XING,2117.5378,7943.5407
DN AUTO SIGNAL 74,2118.1043,7943.788
DN SA G:A76,2118.8708,7944.1213
DN L XING,2118.9784,7944.1691
DN AUTO SIGNAL 78,2119.5222,7944.4082
DN TMR HOME,2119.9829,7944.6099
DN L XING,2120.2185,7944.7135
DN TMR STR,2120.5919,7945.1857
DN L XING,2120.6519,7945.2808
DN TMR ADV STR,2120.727,7945.4335
DN AUTO SIGNAL 80,2120.7762,7946.0096
DN SA G:A82,2120.8037,7946.6073
DN L XING,2120.7907,7946.7172
DN NEU SEC,2120.7712,7946.811
DN AUTO SIGNAL 84,2120.7027,7947.1682
DN AUTO SIGNAL 86,2120.6151,7947.879
DN AUTO SIGNAL 88,2120.9296,7948.3924
DN AUTO SIGNAL 90,2121.2571,7948.9008
DN AUTO SIGNAL 92,2121.5904,7949.4203
DN MNU HOME,2122.0517,7949.7137
DN L XING,2122.1291,7949.8108
DN MNU STR,2122.4988,7950.2751
DN MNU ADV STR,2122.6125,7950.3937
DN AUTO SIGNAL 94,2123.0599,7950.7479
DN AUTO SIGNAL 96,2123.5492,7951.1666
DN SA G:A98,2123.8652,7951.6387
DN L XING,2123.914,7951.7501
DN AUTO SIGNAL 100,2124.0914,7952.3375
DN SA G:A102,2124.2458,7952.8879
DN L XING,2124.2888,7953.0405
DN AUTO SIGNAL 104,2124.4842,7953.7314
DN TRO HOME,2124.685,7954.4464
DN L XING,2124.7146,7954.5518
DN TRO STR,2124.8787,7955.154
DN L XING,2124.9309,7955.3331
DN TRO ADV STR,2124.9627,7955.4433
DN SA G:A106,2125.1749,7956.1953
DN L XING,2125.2045,7956.3102
DN NEU SEC,2125.2715,7956.5988
DN AUTO SIGNAL 108,2125.3363,7956.8766
DN SA G:A110,2125.4801,7957.5103
DN L XING,2125.5074,7957.6301
DN KWN HOME,2125.6915,7958.4297
DN L XING,2125.728,7958.5991
DN KWN STR,2125.8467,7959.1172
DN KWN INT STR,2125.9026,7959.3545
DN KWN ADV STR,2125.9504,7959.6474
DN L XING,2125.9609,7959.7243
DN AUTO SIGNAL 112,2126.0314,8000.224
DN AUTO SIGNAL 114,2126.1222,8000.891
DN AUTO SIGNAL 116,2126.2038,8001.4672
DN SA G:A118,2126.3649,8002.0131
DN L XING,2126.5296,8002.175
DN AUTO SIGNAL 120,2126.6036,8002.5165
DN GJ HOME,2126.5865,8003.0835
DN GJ STR,2126.6097,8003.9592
DN GJ ADV STR,2126.6813,8004.1482
DN AUTO SIGNAL 122,2126.9611,8004.8565
DN AUTO SIGNAL 124,2127.1784,8005.4113
DN SA G:A126,2127.392,8005.9562
DN L XING,2127.4369,8006.0707
DN SA G:A128,2127.7876,8006.9683
DN AUTO SIGNAL 130,2127.9299,8007.5564
DN AUTO SIGNAL 132,2127.9074,8008.2141
DN SA G:A134,2127.8717,8008.8713
DN L XING,2127.8649,8008.994
DN SA G:A136,2127.8388,8009.4605
DN L XING,2127.8324,8009.5803
DN SA G:A138,2127.8005,8010.1566
DN L XING,2127.7945,8010.2765
DN G HOME,2127.7785,8010.6352
DN L XING,2127.7673,8010.7977
DN G INT HOME,2127.7532,8010.9432
DN G STR,2127.7084,8011.7161
DN G INT STR,2127.7069,8011.9345
DN G ADV STR,2127.6997,8012.2223
DN SA G:A142,2127.6873,8012.5471
DN L XING,2127.6824,8012.669
DN NEU SEC,2127.6712,8012.9468
DN AUTO SIGNAL 144,2127.6467,8013.6875
DN AUTO SIGNAL 146,2127.4822,8014.2391
DN SA G:A148,2127.1192,8014.7138
DN L XING,2127.0594,8014.7777
DN AUTO SIGNAL 150,2126.564,8015.3095
DN AUTO SIGNAL 152,2126.1695,8015.7313
DN SA G:A154,2125.7873,8016.1404
